epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1004.87222222,403.62777778,100,5,10.0,4.72222222,0.15,7a3985c387af5bb8e9f70622393f66a685e4def9b6f763349f71142f60265c22
2,1009.766823,407.27214291,100,5,10.04872222,4.74386995,0.15073083,16f8114a834881ff5eec8b48b8da8dd5e01516fa39e4624c0cff0499b38c37c6
3,1014.68389185,410.93316095,100,5,10.09766823,4.76560383,0.15146502,7e394ea6f3547df9c041cfa57f026a52083431711aadfa9b8c79b6e0256e491f
4,1019.6235185,414.61089763,100,5,10.14683892,4.78742407,0.15220258,22837f1ab5c97281badcb1bca034da767ed5f06496a85b2eefa491cbcceff066
5,1024.58579293,418.30541882,100,5,10.19623519,4.8093309,0.15294353,9e4744857e343745885b000d51dafddc398b98e55d2de720930a73011d074531
6,1029.57080531,422.01679056,100,5,10.24585793,4.83132451,0.15368787,bc58d81a69642ce31d7ed2f5ae5f7a3aa0a2a5e43cd1afdc7fdf87df8363af96
7,1034.57864605,425.74507904,100,5,10.29570805,4.85340512,0.15443562,01843645d507c25157d91bd73a046447395fe7a8870e428066af7b4aab2a637d
8,1039.60940581,429.49035061,100,5,10.34578646,4.87557296,0.1551868,f3159ae14d39db89928033ba20e93a51d6e51d0377f96568bcc28e7944a739c9
9,1044.66317544,433.25267178,100,5,10.39609406,4.89782822,0.15594141,10e269752db153551c9d98777a61a78c0ceb00cfbf9d61f02b361bd6663507d1
10,1049.74004603,437.03210919,100,5,10.44663175,4.92017111,0.15669948,40416a81bd8e54345bd3d90a411d62b02fb592775af8f81f14d82e548e82f51b
11,1054.84010889,440.82872966,100,5,10.49740046,4.94260185,0.15746101,1cf7ab69758c9cee9f27262a8823c333f84cf1302e68633c70abc84c38a1fe8b
12,1059.96345555,444.64260015,100,5,10.54840109,4.96512064,0.15822602,ed8c2e3340aa535f26be30a810d61704ad4e3b81097f01d6a6e89b16a39a6ec1
13,1065.11017776,448.47378778,100,5,10.59963456,4.98772769,0.15899452,353c2445c338b917b985b1d42baf9ab0ee4551591e9f7edb7e5d7fe97abda2ae
