epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1003.385,117.154,110,5,11.0,0.385,3.0,93da5962cc413a1fd1578ec28276a5cbbc280d311ab09ef1ad2d572d1b84120b
2,1006.78127142,114.29829157,110,5,11.037235,0.38611642,3.010155,acd146e0e0f407489a889616590cf66104a40d39166e565083ab79726025ecb3
3,1010.18885052,111.43284188,110,5,11.07459399,0.38723529,3.02034381,76660740ce40c49741c5a258f2c4c0255728d028e7cfd025a13389a567c240db
4,1013.60777368,108.55761797,110,5,11.11207736,0.38835661,3.03056655,c828f736599f97a5d951c04f63052da15900fa6fa714c13b575f4cf2b404403e
5,1017.03807738,105.6725868,110,5,11.14968551,0.38948038,3.04082332,f5e098675b48e6dd08676090e19e3f6aa86502d72ab50e5535b60738b14516e8
6,1020.47979821,102.77771521,110,5,11.18741885,0.3906066,3.05111423,efd20cf4598d8ee575fe26683fbd257b875f000dfa808812af05f4fe4555637c
7,1023.93297287,99.87296993,110,5,11.22527778,0.39173527,3.06143939,c0f7f4452d5d8e0b434bb72780e72dbf3f3d688dc333a86a6b19fe7156fe64cf
8,1027.39763817,96.95831756,110,5,11.2632627,0.39286638,3.07179892,d9d380dd2db78293339e15d652c0b65fa5d8a19c050dad97df1a589824143206
9,1030.87383102,94.03372463,110,5,11.30137402,0.39399994,3.08219291,d5d24552ed2daf61b2ba49408eaea893913aac2b54df1c91475b13c19699fefc
10,1034.36158845,91.09915752,110,5,11.33961214,0.39513594,3.09262149,2cd2c5ba7a7867b365b859665a79677122c3cd28e96e9726a07bc6ad4a5b8d2d
11,1037.8609476,88.1545825,110,5,11.37797747,0.39627438,3.10308477,411f1042e0c64b8082f7c418b44306298cceb4d47217fbcfaf24432c268a886c
12,1041.37194571,85.19996577,110,5,11.41647042,0.39741527,3.11358284,c2cadcaa894d471d9a949325f9746f70b6d0085c37b41d7b8e0c4cb832842fae
13,1044.89462015,82.23527337,110,5,11.4550914,0.3985586,3.12411584,25eb126514328fb26b011d65d3705054b5921a76dc3b467d09668f45cf6fe059
14,1048.42900838,79.26047126,110,5,11.49384082,0.39970437,3.13468386,1367129521bf96075a58af341d1ce147831d9d019b9ed65084438170ae198e5a
15,1051.97514799,76.27552526,110,5,11.53271909,0.40085258,3.14528703,fbd15e243775265a44e0bb515e3e0714f0e16dc51acda361cfaa359533e1cdac
16,1055.53307665,73.28040111,110,5,11.57172663,0.40200322,3.15592544,5c3c57059ef5a37fc23095c5351cb1a70fb8a1a6504c8a503e1324331a8edaef
17,1059.10283218,70.2750644,110,5,11.61086384,0.4031563,3.16659923,fdd3ce0269519cf7327b859e2f0a9748d808a72f6da595dd8f357d042cddfa6b
18,1062.68445249,67.25948062,110,5,11.65013115,0.40431181,3.1773085,4e68a18426fd88d81068c1e5acbba97159599361dbc8a0fe862ef4721e0277c1
19,1066.27797561,64.23361516,110,5,11.68952898,0.40546976,3.18805336,0703cd938e59af0baa63cfac8ad8d62bdce9eee8bcc0910c66d909b0b58b9e0f
20,1069.88343967,61.19743328,110,5,11.72905773,0.40663013,3.19883393,dd722c8c3fdee5f72231161b2fc6bc3e2df9a68ab5e57bb6f5c6f9e13cdb08ef
21,1073.50088292,58.15090013,110,5,11.76871784,0.40779293,3.20965032,641c57627fcd25181c4f7a0aa6e68066298e4a662a559d67588e07ea0fead3fd
22,1077.13034373,55.09398074,110,5,11.80850971,0.40895816,3.22050265,79bb267b0253cac481ad89b375f307865a30a101b19e108d32297dc212961f43
23,1080.77186057,52.02664003,110,5,11.84843378,0.41012581,3.23139103,ee2f4460db26cc99acfc9412beb65f637833d92fa1ea0d9db9fab809ae938b7f
24,1084.42547204,48.94884281,110,5,11.88849047,0.41129589,3.24231558,1b1e855b26c92e77f9103f39812cac7d952fd81e1a629a17312bbf8bbab4a61f
