epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1004.9,296.225,100,5,10.0,0.9,4.0,9a5da720ba2838e049211b5eb9262a5d86b608f2d1ed6306394092b7a358bbbc
2,1009.8235176,292.4313794,100,5,10.049,0.9039176,4.0196,55d9a1726165e25a16419c50f28a192fe1bed60e6309cc0c35a662fd28cc9999
3,1014.77066083,288.61904762,100,5,10.09823518,0.90784916,4.03929407,9067cba5a3ea4839fd5c07557839ab79667f884e75f38334f8b964abda96bce0
4,1019.74153818,284.78791366,100,5,10.14770661,0.91179471,4.05908264,f315ff92cb2e86f3f0f74f96bde74557cf2a29b17484621144a0048138a4a05a
5,1024.73625859,280.93788608,100,5,10.19741538,0.91575426,4.07896615,571d9938d3b3b76b6c2dddd283e1258358cc84921fecd4e77415ea2615e052fa
6,1029.75493144,277.068873,100,5,10.24736259,0.91972782,4.09894503,d0e8ccc9c72558688f77f56327b336e1cdd76731a39c8841e8ecba6be36f4ff3
7,1034.79766658,273.18078212,100,5,10.29754931,0.92371541,4.11901973,3d5c048701cb00ada9a8435f7e3d88f06cfda1781ae61561784701f9baabbd03
8,1039.8645743,269.27352071,100,5,10.34797667,0.92771705,4.13919067,602c4be96fb40c61180085743a02ff6832a8c3de4b1e7baaad1435a0853120b1
9,1044.95576534,265.34699559,100,5,10.39864574,0.93173274,4.1594583,7049abce68a6f9b32e6443304c1ad5dff676fc8b9e42f611a3db52e52bcaa4d2
10,1050.07135091,261.40111316,100,5,10.44955765,0.93576251,4.17982306,dbc83e74c927e491ef1278b96650698554c7dbbbb11b655c7095f1181bde57af
11,1055.21144268,257.43577935,100,5,10.50071351,0.93980637,4.2002854,87aeaf5df76601595f147fc4560bebd27d5b7d318a17de166c0280af725a88e9
12,1060.37615277,253.45089966,100,5,10.55211443,0.94386432,4.22084577,2ee86caefa22afbaa57b28d9118f3027962a5e8f603a9dcbf5908f5b6cd7aa45
13,1065.56559377,249.44637915,100,5,10.60376153,0.94793639,4.24150461,7cae7fbaffd3c8cd3f5ab59807577b58219ae90ddd16f973c108e897c858c0ac
14,1070.77987874,245.42212242,100,5,10.65565594,0.95202259,4.26226238,2a27a189cd3ddd0d9f7d2e360a46ceb8d8bace29b16ef16fa3b493f1938c5ac7
15,1076.01912117,241.37803364,100,5,10.70779879,0.95612292,4.28311951,28200af2ecb492b05ec2df775ca1d70146a9bf2d49f0eeada1f719481ea9f64d
16,1081.28343506,237.31401651,100,5,10.76019121,0.96023741,4.30407648,7654cf64d686375fc7f156abad7bc1d9704496ce4be7eb78b307fa778bcf34e2
17,1086.57293485,233.22997428,100,5,10.81283435,0.96436605,4.32513374,f7ddfa4fff2bcb9b5ab4437f934a34ebf5c0e2f2caff8a6527485d37a5e1a1ee
18,1091.88773545,229.12580976,100,5,10.86572935,0.96850886,4.34629174,946bf23bd8afa3308e20c4ca63869671a618ec77568f97b98d0fe54cca763a4a
19,1097.22795224,225.00142528,100,5,10.91887735,0.97266585,4.36755094,d63b6da5ba8c072b872da356922283b31ad7895946c81fb17509b2eea20b31b7
20,1102.59370108,220.85672273,100,5,10.97227952,0.97683703,4.38891181,bc4cfc71b2b3c1f023508d71cda9df5e6cc310c6ea0a1117bd2a006605269cf7
21,1107.98509829,216.69160353,100,5,11.02593701,0.98102241,4.4103748,f5a7e22f4dffe6352284a96a800efc9eb9f9bf68376dba03a89638c294b1f4e4
