epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1005.1,316.264,120,5,12.0,1.1,4.0,7645670415a9e85ddd8cefbb578ab2cc748f31adbde7f23e3617a8b26ab49003
2,1010.2254974,312.50882338,120,5,12.0612,1.1050974,4.0204,3e1a6dd28b2fb37f622be7ddb10cfbb00ff50a09049b58f9423fb0b2a1b1e9e1
3,1015.37661443,308.734373,120,5,12.12270597,1.11021504,4.04090199,e367096ea16c028688dcf8f6895a93336b702bd176d72c974e655fdb07d3c726
4,1020.55347386,304.94055125,120,5,12.18451937,1.11535297,4.06150646,cb9a954804aab6a1f369de687faff64e4b246fb83a201f46a4c48d987521e9dc
5,1025.75619899,301.12726005,120,5,12.24664169,1.12051123,4.0822139,0273dbb10020815b9d0d9012e40619f47a7c03167d48a21a79a238e54d8506e8
6,1030.98491365,297.29440082,120,5,12.30907439,1.12568986,4.1030248,17ef99533f9a5221917e40126cb073f5ea4dcd961d77b80f0aad97c3b3be23ef
7,1036.23974221,293.44187451,120,5,12.37181896,1.13088891,4.12393965,ace4347cafbbc1891fd8f3b4bcc91b2919929da8f62db76800d59430d5bcff38
8,1041.52080959,289.56958156,120,5,12.43487691,1.13610841,4.14495897,43d7c6f69a732d1604b35b670ec1d5566057f1e3f50909ba45a4e398dcdb8390
9,1046.82824124,285.67742194,120,5,12.49824972,1.14134841,4.16608324,aa621300b87fafbd28093367c50b2eebfb922f32344833fff36fe20e9b7524d8
10,1052.16216315,281.76529513,120,5,12.56193889,1.14660895,4.18731296,d968bdf40212cc6d46c4b159be7e5d6e6a9e4ae392cfee6e0517d16f29b3f8d9
11,1057.52270187,277.8331001,120,5,12.62594596,1.15189007,4.20864865,ddc8a73682bed6bedeabc8ab21c593e044a02e419830b50f455ac8698f0bb4f8
12,1062.9099845,273.88073533,120,5,12.69027242,1.15719182,4.23009081,03025d4c925e00b67e1c036f943134426d7373a4635daa16e73366fc6f8a7e1a
13,1068.32413866,269.9080988,120,5,12.75491981,1.16251422,4.25163994,d72c6a8120fc6c5c968917a88d28cf4d0114fb3ad9180f2bdbe9759e68f45711
14,1073.76529253,265.91508801,120,5,12.81988966,1.16785732,4.27329655,f2caf1250ff84db9f8d30bae8ae0a494d7e4d2efe69cbeb073888a0cab61add5
15,1079.23357486,261.90159992,120,5,12.88518351,1.17322116,4.29506117,abbaffb45e86b3e5d5619a412e071d781b313e4bf55d60a9bb406b660afd55f5
16,1084.72911494,257.86753101,120,5,12.9508029,1.17860578,4.3169343,4c3eb754c76d2975e95071b7296155cc1901eb2ffb18c01eb5fbc6f661f61b1e
17,1090.25204261,253.81277724,120,5,13.01674938,1.18401121,4.33891646,326a90ff07e0cd777c2dd99c5edbb7baf9d67238f346717657057f807852d1de
18,1095.80248828,249.73723407,120,5,13.08302451,1.1894375,4.36100817,2375422ee99314dc2d59e63c6b14f5e1e83ea283692b9df0f7429efad5f92df5
19,1101.38058291,245.64079644,120,5,13.14962986,1.19488468,4.38320995,feea8fe8be383363fa96e3128380218d53aa882ca7f0ddc3902e7b7789177781
20,1106.98645802,241.52335878,120,5,13.21656699,1.20035278,4.40552233,b09fde06ba5d380ccc853df8fb3371c27bd7a97552c33a1fcb173f4f8d3b0654
21,1112.6202457,237.38481499,120,5,13.2838375,1.20584185,4.42794583,753dbfb2bf6f2082c90e1d0df6cdff52195d5a1fb955471700bc6c65e7393a4b
22,1118.28207859,233.22505847,120,5,13.35144295,1.21135191,4.45048098,ce505d9303e504cf7e0c50265bad3099f1db57db2f62394e8746961fa88514fb
23,1123.97208991,229.04398208,120,5,13.41938494,1.21688301,4.47312831,c3057cc33188cc928ac3eb0597bec4d4d9f084ddf65dd8dcc574e56591b4646d
24,1129.69041345,224.84147816,120,5,13.48766508,1.22243518,4.49588836,8f38309c3836db0b26fa21ca46f9fecb422d39878831ccb8680d395753cba1b3
25,1135.43718355,220.61743854,120,5,13.55628496,1.22800845,4.51876165,d274594af35941ff97dc0dd454c3979e05f5adfab0f17b5db05ba9e92edd6bfd
26,1141.21253514,216.3717545,120,5,13.6252462,1.23360286,4.54174873,3a773e984576773e180fd45334c29132b9e88ffb0ca61b3fd5dca1cc3f4a1842
27,1147.01660372,212.10431679,120,5,13.69455042,1.23921844,4.56485014,7ee92ad8d3efcf3cac03995c3b13ea39b1d371153133a33bc1b02f0541e422cc
28,1152.84952535,207.81501563,120,5,13.76419924,1.24485522,4.58806641,7945e37a3e5cf2e29a0c9f21eec03293e97f91f6f493e9b19dd116d850efc5a9
29,1158.71143668,203.50374071,120,5,13.8341943,1.25051323,4.6113981,b906fab9071526bcec2a48309b454076d1af282a52c875ce29cc1d77b6ea6d9e
