epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1003.192,247.0384,20,5,2.0,0.192,3.0,11aa1e431a1ab3adfb730527c9d6ccae66816759637917f610b44059948a9735
2,1006.39403516,244.06731583,20,5,2.006384,0.19245916,3.009576,68cee533cacec234cedde0a403fa0d1e6b1e4dad5427efd393ab0b6b2cf12c41
3,1009.60613605,241.08671748,20,5,2.01278807,0.19291878,3.01918211,a4c63d871ba092df798f025b0931d80fa0c2c83a1a2f6d110a83fd3dc47e42b1
4,1012.82833331,238.09657484,20,5,2.01921227,0.19337885,3.02881841,c5b03c9788c5c346764294fd75bcf74b482aa635e4ff0e1bff86d207e87a373d
5,1016.06065769,235.09685772,20,5,2.02565667,0.19383938,3.038485,cf42f383f92ab5281400e24b36d8a68e9592807b97928291642524d2aff5e3be
6,1019.30314001,232.08753582,20,5,2.03212132,0.19430035,3.04818197,4840e614bcc843229ed959af3baaa3d317d0ec06051800edc03607f74a4bf762
7,1022.5558112,229.06857875,20,5,2.03860628,0.19476177,3.05790942,32a7dc363e1056525437949794359be330b25f6295c8bfd6bdc652c3113f1fde
8,1025.81870225,226.03995604,20,5,2.04511162,0.19522362,3.06766743,8ab9e0f1e637b8c75812ff953c006d33a2503b3c04949a5b71ba83d30ba93d2b
9,1029.09184426,223.00163711,20,5,2.0516374,0.1956859,3.07745611,6f6b159ec44e77a5158d87b1c1b1731b1768a605d42ba3b436a709a46bdb1d26
10,1032.37526839,219.9535913,20,5,2.05818369,0.1961486,3.08727553,243ce67615d48bcaa1ed57fb8e27b9de7ae018789b32d6a379b0bdf5ddaf8a27
11,1035.66900593,216.89578784,20,5,2.06475054,0.19661173,3.09712581,ce6500b15f06f2eeb238358a449696405699e2ca43537a78f492f9b0cc96f951
12,1038.97308822,213.82819587,20,5,2.07133801,0.19707527,3.10700702,cb955c1e436a89fa6c3a119482deb40678a24e2333bf8b2553d5a641dfd2c7df
13,1042.2875467,210.75078445,20,5,2.07794618,0.19753922,3.11691926,d50cce8dcf6223e05d460a3c7d581c59ec54d6df666ea8ab7d246e0fdbdada91
14,1045.61241291,207.66352252,20,5,2.08457509,0.19800357,3.12686264,0ef6ea2f0295d29313c5f8348f2184b622ec19ff131c9feeebb53fb624c10543
15,1048.94771847,204.56637894,20,5,2.09122483,0.19846832,3.13683724,763ba8e1df476c1081bc5fbdb6d5a794a3e5f43e6532050d3c8be071d769b304
16,1052.2934951,201.45932247,20,5,2.09789544,0.19893347,3.14684316,fac5e10e9e222d55890b72c7877485cc6710540358af361a5be7f83805e7a1ad
17,1055.64977459,198.34232178,20,5,2.10458699,0.199399,3.15688049,ee0ed586e4b1b1f13194319160ad2ab81f1d12d425f79b1c066accca6dbf3c4b
18,1059.01658883,195.21534544,20,5,2.11129955,0.19986492,3.16694932,e8fc86732bd10b134be4f373648c344b9c67fe8a47d83251dc24421568c5d65f
19,1062.39396981,192.07836191,20,5,2.11803318,0.20033121,3.17704977,711a885af4bea9789fb36010d7e6c2c056f15cdbb05ad50aded0651cb1db5aa8
20,1065.78194959,188.93133957,20,5,2.12478794,0.20079787,3.18718191,e33e41b07389ce98d852be5b2482671f8c3b49e3be58fec100f892fefcc2598b
21,1069.18056033,185.7742467,20,5,2.1315639,0.20126489,3.19734585,98e13258943c6bdbf1e713246f1e3d28e9fcedaac30665183160b07a9990416a
