epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1002.54,278.0972,89,5,9.0,0.54,2.0,343e0a85123394b9cfe18cbf0478b63eae8ab8edfc477318c57c7d08c7e5c5ba
2,1005.08020973,276.18844335,88,5,8.922606,0.53512973,2.00508,deac66b17c97f6642c182625d31b8674b09e35489a6818d2b389ed4f9041c5aa
3,1007.62060317,274.27372487,87,5,8.84470585,0.53023302,2.01016042,feac0bfe31a495b804aa809bd64886b212e5bfddfe59e429fc010302f7bb95a1
4,1010.16115429,272.35303944,86,5,8.76629925,0.52530991,2.01524121,ed59c5c50155c1a205ff3480c5087111ea3ddf68594453c915101c79352711f9
5,1012.70183702,270.42638201,85,5,8.68738593,0.52036042,2.02032231,d20f6ce8794455e402e03ae9754e4bed9131c0a5f1d3d2d63d0c5119ef67a934
6,1015.24262526,268.49374756,84,5,8.60796561,0.51538457,2.02540367,79ef5fc8f3f61ad2dcb1a8de0a4080b833f70ffa7c28664d18fc5897c85dacc4
7,1017.7834929,266.55513114,83,5,8.52803805,0.51038239,2.03048525,a650a1779d21c72d820a3e66126b5780c5337df854ec02a8af2ce79beaed9185
8,1020.32441379,264.61052785,83,5,8.44760299,0.5053539,2.03556699,a95bfe3437ebaefe055cd42467df926fbc6f92bb9760bdba293bb216ea63d253
9,1022.87146297,262.66103108,83,5,8.46869263,0.50640035,2.04064883,7071724c4c2d6f74569d32c1760b8a02b017a87cf9f7e2e91b4d2ea38f078c79
10,1025.42465414,260.70662883,83,5,8.48983314,0.50744824,2.04574293,eb8d9aed716759cfcae3bbc3115b4982673a67bbff1a3c83d40c07021de85267
11,1027.98400103,258.74730908,83,5,8.51102463,0.50849758,2.05084931,c342d5daca22df97effdd6ef1e82f549517cbdba59d511cb111ab6f13ad5cde7
12,1030.54951739,256.78305978,83,5,8.53226721,0.50954836,2.055968,03535934c7ae2ed8ecc060b7f25f95341dc6b58945bc0288ed807e31ee2e727a
13,1033.12121701,254.81386886,83,5,8.55356099,0.51060059,2.06109903,d2f72270efd16b9dd7ae1de2a828fefc424a3f19ed6ebc3412440c30a7a3ff98
14,1035.69911369,252.83972419,83,5,8.5749061,0.51165425,2.06624243,3b47e0b96286ed3adf72702b69211a3891792abb3a6a59b34a1960d473b787a2
15,1038.28322127,250.86061364,83,5,8.59630264,0.51270935,2.07139823,ca4cd592686c7747eec8210b5fad3d8cd158baabe3a4107753e0d1474e982128
16,1040.8735536,248.87652506,83,5,8.61775074,0.51376589,2.07656644,3803fc6ab18d604812e5df1c1af8c6d3e8fe689b82ec05f27693431a23f91aa4
17,1043.47012457,246.88744624,83,5,8.63925049,0.51482386,2.08174711,5330a4dbf91d558911002e4adce8fa4f7cf080ef084b4720cda32b5b9050e5f4
18,1046.07294808,244.89336498,83,5,8.66080203,0.51588326,2.08694025,e28ce68bb6a9686ff6474f344bc76e7a3c6062552555a9216fcbbbee476cf7ae
19,1048.68203807,242.89426902,83,5,8.68240547,0.51694409,2.0921459,c9bf3b2fc1e94ae2db54c0adb5d7acfeace0388dbecc4e5f16df05ec4cdbef23
20,1051.29740849,240.89014608,83,5,8.70406092,0.51800634,2.09736408,c8b9109bef96a292f87f5d969bdaf7e860ca18dd923dc09caa3336ba02316ce0
21,1053.91907333,238.88098386,83,5,8.72576849,0.51907002,2.10259482,1324220e0a66d0b79af90e3652b6f6fa792556dc65faef6bbede35936f770496
22,1056.54704659,236.86677003,83,5,8.74752831,0.52013511,2.10783815,f2d6a71c408b156a8c0aa2d3d91c29271424e0493033bb81bdbb59ec7ebb99e4
23,1059.18134231,234.84749223,83,5,8.76934049,0.52120163,2.11309409,6017db1de57edf0c8c5f0fdfc72b70accf51966120468a4adb88a24e0123b020
24,1061.82197455,232.82313807,83,5,8.79120514,0.52226956,2.11836268,b99246078c4d887c031416447262757a57d27d01a7c6219f78634678ab483648
25,1064.4689574,230.79369512,83,5,8.81312239,0.5233389,2.12364395,cefaec0f54392e4ddc1ff34acd7f04414a8717ab4b77e204737dccb5a24bff5f
26,1067.12230496,228.75915095,83,5,8.83509235,0.52440965,2.12893791,123cf50b1ec003ad8d2f1056fb72672db97ddf398e293e49a44040a8158d5d9d
27,1069.78203138,226.71949307,83,5,8.85711513,0.52548181,2.13424461,097b2b85cb6d8aa9fdc543fe14369b01f6d283223f9355d892df2e135509da6c
28,1072.44815081,224.67470898,83,5,8.87919086,0.52655537,2.13956406,95e498b06eb6116c0ea37559115d6be2fef03fb811e5c537c10dd0ee35d8677a
29,1075.12067745,222.62478614,83,5,8.90131965,0.52763034,2.1448963,c536f120af296622c93a4ec48d6637a35bb29d6207fdb40954cd79c1a4526a00
30,1077.7996255,220.569712,83,5,8.92350162,0.5287067,2.15024135,b95602fef6b8e2e183c4bb2be9f64a45346efb4c2252098dcb0d1bcbd4f2904a
31,1080.48500921,218.50947395,83,5,8.94573689,0.52978446,2.15559925,7ab7d04c9ba5b88cd6adb9158581064b3588d835c91c93e944770b3fcd3d2a89
32,1083.17684285,216.44405938,83,5,8.96802558,0.53086362,2.16097002,b48353c58d197825355df1d4e11249b90064ed487f2b711f1e82654ac5a793d8
33,1085.8751407,214.37345564,83,5,8.9903678,0.53194416,2.16635369,b5079170f8854b29aab55b542c81f89f83cb9f1a5632ebd50e78b2e8a62d0be8
34,1088.57991708,212.29765006,83,5,9.01276367,0.5330261,2.17175028,9103a1330288c0dae4f50f7a58ad66987d66fa4171027f7540c4efaea3befe37
35,1091.29118632,210.21662992,83,5,9.03521331,0.53410941,2.17715983,565a28c4822c68ef2139025ff43e5eed0b90e4c83dae604bd68af5a633860b9a
36,1094.0089628,208.13038249,83,5,9.05771685,0.53519411,2.18258237,09ac5eccfa5184712f2109b36dcd39e19311d63f0a209fdbeb913be4ba92103c
37,1096.73326092,206.03889499,83,5,9.08027439,0.53628019,2.18801793,b024e6f03b5db3e327250d3c5c67198350f7b852a8604a296743c7d83a3a6405
38,1099.46409509,203.94215465,83,5,9.10288607,0.53736765,2.19346652,75505e07781548923383e24555928a3866f8c903f1645792fe2bb30024beaaaa
39,1102.20147975,201.84014862,83,5,9.12555199,0.53845647,2.19892819,48e4d75e1a339fc13c638b6e2aa30b990c8da150917368e8e03b59af50cc023b
40,1104.94542938,199.73286406,83,5,9.14827228,0.53954667,2.20440296,982c58ccf8cf0c451784e0e5db99a7b1ecc28ca8476c401cb6f6e3b4cc2ab83d
41,1107.69595847,197.62028808,83,5,9.17104706,0.54063823,2.20989086,49dc1c4ef8ee3741f20b1f78490c1b93d8227b281cac4c6c2fff3720232c493a
