epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1004.72,276.1584,91,5,9.0,0.72,4.0,4d03e88eb08da67872a9d57f613a21fe9ec2e01acc4690588524a948bdc727ca
2,1009.46988461,272.30034101,92,5,9.142952,0.73100461,4.01888,ff11a1c168c81f5b18193db1d59c80607ea4207a27a8f5221d02f17b466cb375
3,1014.24985451,268.42572135,93,5,9.28712294,0.74209036,4.03787954,3cad1f08d68280cb07a27bb0bc6ddc5143dd9969d75e81f76896b8f400810a20
4,1019.0601117,264.53443864,94,5,9.43252365,0.75325777,4.05699942,e3581793edff7e9cdd2f463ed81f135777e98dd712a5fd7afbad7b3bd7ebbe3d
5,1023.90085955,260.62638982,95,5,9.57916505,0.7645074,4.07624045,a08e878b6497d114925567778adb192d5fede84332cb01a5dde71f86dab3d779
6,1028.77230279,256.70147114,96,5,9.72705817,0.7758398,4.09560344,e7448d71e28ea10539f455ad859871b603dce234bdcebd4ee6c00ff674b06a0e
7,1033.67464751,252.75957814,97,5,9.87621411,0.78725551,4.11508921,7230923e0b0e1cae255377bb0b6aaccd23e0cf6112709dcf034d2e0bbcd75e9b
8,1038.60810119,248.80060567,98,5,10.02664408,0.79875509,4.13469859,95bceed2d08e97af161a33aa31ae770603ef87531df5b3716a3bda01ce2967d1
9,1043.57287267,244.82444787,99,5,10.17835939,0.81033908,4.1544324,1e869af4f00039c081becb7df757da090bc86416286e518b039aaa31a1aecb58
10,1048.5691722,240.83099815,100,5,10.33137144,0.82200804,4.17429149,8d5e88310ceebc4073357ef128c6309df8f2ea321ba8e6518548e2a03de31325
11,1053.59721141,236.82014921,101,5,10.48569172,0.83376252,4.19427669,549355059a86d546a714fe0028b918d0423da9da2f54c9e79913e75b44d4d297
12,1058.65720335,232.79179304,102,5,10.64133184,0.84560309,4.21438885,ffaf52f5f196ee577faec0435de6b49e516395271469ea7fa4b2d89c5d7089e8
13,1063.74936245,228.74582089,103,5,10.79830347,0.85753029,4.23462881,23e3f91ed2b58c8b44819cdccdfb9762b46fc76eed4038be371c5ed0facd053f
14,1068.8739046,224.68212327,104,5,10.95661843,0.8695447,4.25499745,1f0ae8af4ea1035a6616fe3b6a2fffd0398b03d49b821e42123b30524068a2f7
15,1074.03104709,220.60058996,105,5,11.11628861,0.88164687,4.27549562,b1e79247e4d2ad222fdfab9d9a820c1c052565a9125a5a74915de3a95f2e39a1
16,1079.22100864,216.50110999,106,5,11.27732599,0.89383736,4.29612419,2d95fe4f455ad89f570e95d93cc1aaa03e2659cd4892b16054382992c331dd47
17,1084.44400941,212.38357164,107,5,11.43974269,0.90611674,4.31688403,4c28e3e14014c9e4a1eb7d02dc8031e5750b2fb16e8710656753e43120edca87
