epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1004.95,603.69,100,5,10.0,4.8,0.15,9f68e016c1225e971621c177601422e9e53cfe1866468370c741b2e36124cfeb
2,1009.9235076,607.39746958,100,5,10.0495,4.8227651,0.1507425,81c1851551b635a32828a0e54b2dd36c5897702345ba9fa38238f0c62b6f0e6a
3,1014.92062457,611.1224838,100,5,10.09923508,4.84562844,0.15148853,0dc4cea7e40016a197c5b912d4251c39c826541fa60dbbb448fa36bfcf16f46f
4,1019.94145301,614.86511799,100,5,10.14920625,4.86859035,0.15223809,460b99a385165aee8ef2490c29b5cbfdee3873f73744121b8329d829ca47a09f
5,1024.98609538,618.62544769,100,5,10.19941453,4.89165115,0.15299122,56309570b4122d74ae59828a7dd44eb75b42d99ef79abeb832eea557f78197da
6,1030.05465447,622.40354872,100,5,10.24986095,4.91481118,0.15374791,02d333b59aa8970fe2bed7f71d6beec33b03fd19a1a2d620dc3c8abc395445b0
7,1035.14723342,626.19949712,100,5,10.30054654,4.93807075,0.1545082,eec2be99ccbd59d674d091e273d759397678f3ce94e481705941cb13142e1ebd
8,1040.26393572,630.0133692,100,5,10.35147233,4.96143021,0.15527209,7fa9d29f1662b635c5a9739725065a08bc6a069f7c1d35afb32174359f2a8089
9,1045.40486518,633.84524151,100,5,10.40263936,4.98488987,0.15603959,825802d41e0028471d1a548f44e1f44f4cd11670e2eb0adc1daea38648b3a6f9
10,1050.57012597,637.69519083,100,5,10.45404865,5.00845006,0.15681073,b3439dde90fad4a8bfd4ff5a53dcfc4d585c0335da2499f6382dcc1ee3a10925
11,1055.7598226,641.5632942,100,5,10.50570126,5.03211111,0.15758552,62822c650a5f16e46afce407832e7bcbdf93043f8b49ec17982d9c65a3a86c8c
12,1060.97405992,645.44962891,100,5,10.55759823,5.05587335,0.15836397,7644619ae9d6b6ce2d8246e6009fb1dc304868560f3d43d5901c6fe4c9629148
13,1066.21294314,649.35427249,100,5,10.6097406,5.07973711,0.15914611,8aedc6f9568ff2413c8d61563a7fbfd5ec9160065c24ecae2c629bda991dd60d
14,1071.47657779,653.27730272,100,5,10.66212943,5.10370271,0.15993194,02d0abefd5920940355de2e30489284fa9fe77533c03ca67c721175c1fa7cea8
15,1076.76506976,657.21879761,100,5,10.71476578,5.12777048,0.16072149,a38753e7f193cb7ee276f2acbc8a067ce4e05a58b6a2713bdd62a3cca68c923c
16,1082.07852527,661.17883545,100,5,10.7676507,5.15194075,0.16151476,c74c6d2b0f97224224256796e9c8456a90654719f1b19a0dd1c2128eff7ab440
17,1087.41705089,665.15749474,100,5,10.82078525,5.17621384,0.16231178,4a713300265125a425b43cbe3dd5c645f243fed48773928b83e9e66cfa5b53c9
18,1092.78075354,669.15485425,100,5,10.87417051,5.20059009,0.16311256,dee17c409f1c7830a0680095e71ba50655470eb4c5508b0d51dbd92ab2bba300
19,1098.16974046,673.17099299,100,5,10.92780754,5.22506981,0.16391711,261a9119ed3e63768c64110351630b3da8d2057575d02bf3fcf10018738189c7
20,1103.58411926,677.2059902,100,5,10.9816974,5.24965334,0.16472546,8cf4e62f27546132f9425fccc349649ef6e26e603f952a5d4153171eccd77884
21,1109.02399789,681.25992539,100,5,11.03584119,5.27434101,0.16553762,29d45546767a93b48a2842e6ee4319aff15c2200e41b28889ddb8a98278ec5c1
22,1114.48948463,685.3328783,100,5,11.09023998,5.29913314,0.1663536,82c937b56bbfcef58c23fbd6cdf8fae0c48046c0172dec6fbc3dc816797f5867
23,1119.98068811,689.42492893,100,5,11.14489485,5.32403006,0.16717342,36a7898e06e3f3843bfb77ba07d98cf0e5155f701c2b3f1b5a17e65686936f07
24,1125.4977173,693.5361575,100,5,11.19980688,5.34903209,0.1679971,461669706838675c137147a071ff34e8bffe53ec9dfbd2e48140c210a9397da9
25,1131.04068152,697.66664449,100,5,11.25497717,5.37413956,0.16882466,f4e95931bc68a95ab33cbc910e71041a6180b298985f0cf04ad5c760fec7adb9
26,1136.60969043,701.81647064,100,5,11.31040682,5.39935281,0.1696561,bf6dd5d1a84fcfcb7c8ee8d54154eba067d94cfaab5ff759d55b16482421f9d1
27,1142.20485401,705.98571689,100,5,11.3660969,5.42467213,0.17049145,eea6fa6c4464871cde9f45530dcf1631284d18fe3eb7fa8f6d15b62b7b869c77
28,1147.82628262,710.17446446,100,5,11.42204854,5.45009788,0.17133073,b5d19d20b5bee97293f2741310dd394a2e0ab3ee72b7c553feea8d687d0b890e
29,1153.47408694,714.38279482,100,5,11.47826283,5.47563038,0.17217394,527f4ac68820644e6c5867f7bc61fd4dfebd49d0d6de6b01cca60218cbb93898
30,1159.14837799,718.61078966,100,5,11.53474087,5.50126994,0.17302111,797bf66c4335023d3b017aaf33b5fb48902827ec8bd4adb8f28ff423f43f0313
31,1164.84926715,722.85853092,100,5,11.59148378,5.5270169,0.17387226,054934a3f92fea0f428270143f15764dcff8d0e6baeb91e102d4861fc0cfac65
32,1170.57686611,727.12610079,100,5,11.64849267,5.55287157,0.17472739,377c4f3dd2b0eb1152e361c14def27d17c76400fe3c6f1e453bdbb0c305c8a06
33,1176.33128693,731.41358169,100,5,11.70576866,5.57883429,0.17558653,7fb3ce863f04ed08c2748f3f05e64a210d5c9cc782c617e72628da2fb37014b5
34,1182.112642,735.7210563,100,5,11.76331287,5.60490538,0.17644969,a9369021b55aced95256431ce8e1378cf2338ca59b13346bb31a5ccdbe320f71
35,1187.92104405,740.04860752,100,5,11.82112642,5.63108515,0.1773169,59a49d89220f57154b6f000c2c488d1a4a1f27e87e169bec95abc004197e9c7f
36,1193.75660615,744.39631851,100,5,11.87921044,5.65737394,0.17818816,951d8d3906e1ac2d19244eb34e839b571e12f73323853ea8945f88eec945a574
37,1199.6194417,748.76427267,100,5,11.93756606,5.68377206,0.17906349,f0f1c7ea174ac3b3dc1ac7b10dca5ee5f5a6fcd4bd06047a81558025c5cc68c2
38,1205.50966447,753.15255363,100,5,11.99619442,5.71027985,0.17994292,8fb577f595b3a06cb15174c79e8ec87215184157409cc3e020bd0c596c53f770
39,1211.42738853,757.56124527,100,5,12.05509664,5.73689761,0.18082645,8ac39493263b132fae9e0b3c6510b060f1494477cd318e763078136dc4063264
40,1217.37272832,761.9904317,100,5,12.11427389,5.76362568,0.18171411,3465fb7559b977fa91e664f8f4f787293f34a7b857f1c792bd3c94682c67a69e
