epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
1,1003.46,752.924,100,5,10.0,3.36,0.1,1d6497bd90a37d4e6b08586eca93529726484fbbccbedf19c74592a346791f66
2,1006.93148552,755.85767957,100,5,10.0346,3.37113952,0.100346,a649c58b70a56c668714fd3a721a59d64b47f868248b0411c21434bae870c1e9
3,1010.41449133,758.80106781,100,5,10.06931486,3.38231266,0.10069315,4d0c4b2d726ab8f551b946f14b58a06685b2ac2a512628b674dfb24a8030782e
4,1013.90905226,761.75419389,100,5,10.10414491,3.39351948,0.10104145,53cdf49f03b1e27a2771fb22db66ff62dc96666463296af36ff1e4f4ad8188de
5,1017.41520323,764.71708703,100,5,10.13909052,3.40476006,0.10139091,3db427b92bd1ff9849e272b1de127122137467577d1fbe2e16e48e77c389601a
6,1020.93297924,767.68977655,100,5,10.17415203,3.41603449,0.10174152,d4facb4a70a975802d7d4553dcca868052e3a193bf211fc0177677de0c502d8c
7,1024.46241539,770.67229181,100,5,10.20932979,3.42734285,0.1020933,48cd0205f4dea744d1071a9fcf7459062b129eada44adaac1c4b05c3c47c9a44
8,1028.00354683,773.66466225,100,5,10.24462415,3.4386852,0.10244624,6c79587ef21977bbd4edf85e42643c7e812282748221e8c0810ac67f8aeaec42
9,1031.55640881,776.66691737,100,5,10.28003547,3.45006163,0.10280035,ef629e43eda5d38d8b78e29424a4cfdef41375b53deb328ae3d674c54779b240
10,1035.12103667,779.67908673,100,5,10.31556409,3.46147222,0.10315564,0554784b0c8ae68b3fc195445d7daeca223ea736a135ec8ff429a5db49cefb93
11,1038.69746582,782.70119997,100,5,10.35121037,3.47291705,0.1035121,e4a5fa85ce0fc3e1ac1a2d707ceed845cef223794423ac0d9df4cfc3ce9704cf
12,1042.28573176,785.73328679,100,5,10.38697466,3.48439619,0.10386975,e1905fd836fa726727a6f1d803f70eb1a9b4d6f460690a75d5ec4785ade35d6e
13,1045.88587006,788.77537698,100,5,10.42285732,3.49590973,0.10422857,b770c0c019892404ee4f02f1d638678d367e723a41b40e43b1b5c083ca346dbc
14,1049.49791638,791.82750035,100,5,10.4588587,3.50745773,0.10458859,6dc8d2fb31479d7725b5d41af02d3ad980f189d469a869962f442f4d3e856989
15,1053.12190645,794.88968681,100,5,10.49497916,3.51904028,0.10494979,310243ee108a25770cb943d3a9cd8361322ac884ad56648c0e84ec74953a0ddc
16,1056.75787611,797.96196634,100,5,10.53121906,3.53065747,0.10531219,a6734e6738ccdb2824ae1ef15b048d287a80781fb7d76a5702edb757883b6338
17,1060.40586126,801.04436897,100,5,10.56757876,3.54230936,0.10567579,29d07c388928314326435c79edc69ec92e70d475e74d8305a5f2c8acc93f5b4d
18,1064.06589788,804.13692481,100,5,10.60405861,3.55399603,0.10604059,10e67dae3985d442c1806635e1ffd96fc7a9570777b8df5c1a13d98731f1e97f
19,1067.73802204,807.23966403,100,5,10.64065898,3.56571757,0.10640659,96ed4d97eb49c56e057284d8186c472cf8ecb80446afb7ebb7a1891d6eed0884
20,1071.42226989,810.35261688,100,5,10.67738022,3.57747405,0.1067738,d7665da1f5ff0149f5cd82538d4cfdf6708c2d99cdce6b262bdc5d31f20e3719
21,1075.11867767,813.47581364,100,5,10.7142227,3.58926555,0.10714223,1d7ecb5da82ef9ddca101635d03b2545547f85ae6406ad72c27aecaedbba0513
22,1078.82728169,816.6092847,100,5,10.75118678,3.60109215,0.10751187,2de9b93836f25c5bca9bd792c27656959ce155067bf10ebc74f8029088950e79
23,1082.54811834,819.7530605,100,5,10.78827282,3.61295392,0.10788273,a67a00c90e61ab84861bb689393a16472340ea6d09fb269f0f59046e2b80ce75
24,1086.2812241,822.90717155,100,5,10.82548118,3.62485095,0.10825481,a5ac6460aa973882d4ef17d00e7bd85f6c039d844255271b8c8817fb347a0e69
25,1090.02663554,826.07164842,100,5,10.86281224,3.63678332,0.10862812,e57c5ff0edf46ffc98fb0c6ce65d0ee8ec85e8378ba6f52b7ff213e4d4e934aa
26,1093.7843893,829.24652175,100,5,10.90026636,3.6487511,0.10900266,ea4f0c77be95d3ae164c1d345c94cb08622e81ac7c3682d5e8e9b7e5851b7cd7
27,1097.5545221,832.43182223,100,5,10.93784389,3.66075436,0.10937844,7603f44efe2d258404a1820991ba75cba08c5f803ec64489c14cee49311a0eaa
28,1101.33707075,835.62758066,100,5,10.97554522,3.6727932,0.10975545,e9de4f42639ad4558a20b8995f9db865a2f12893f2685fe8698baf3034eb964b
29,1105.13207214,838.83382786,100,5,11.01337071,3.68486768,0.11013371,49a1e7511355874fa6c12abb03761bf7c5e347e1a3a95b17d747709b106ed215
30,1108.93956324,842.05059475,100,5,11.05132072,3.69697789,0.11051321,81f1c1e32a6579eafe8c06f2a505e66879e7c38ecb91936bbe59ccb88bf57e59
31,1112.7595811,845.2779123,100,5,11.08939563,3.7091239,0.11089396,ee3c86c88d164e803a7fe722b3ed7b3cd703075c2c97a358c0cedd6c91f8e1f7
32,1116.59216285,848.51581155,100,5,11.12759581,3.72130579,0.11127596,e3e9d23cb001298368eabb2936ccd575b704db2a1b56aaca2e3e8403f40cb8c6
33,1120.43734571,851.76432361,100,5,11.16592163,3.73352364,0.11165922,26b0cf75312acd74e98114c9d07743bc8650b4adaa7450916dd26b369c26242e
34,1124.29516697,855.02347966,100,5,11.20437346,3.74577753,0.11204373,7f7c5b0b0f074416dbcb86cf045af4a4d638cec877ba0aad44ded14bd84e5c49
35,1128.16566403,858.29331093,100,5,11.24295167,3.75806754,0.11242952,ce8716c2ce86ebed64260dafd6c3dd7dc180b2062a8ea501410a2d2ad3bf6104
36,1132.04887434,861.57384873,100,5,11.28165664,3.77039374,0.11281657,f7c32171cf348bf44d91d3c5cefa8f05d9b8e213a82af59e1f48d1755a1bfe49
37,1135.94483544,864.86512443,100,5,11.32048874,3.78275621,0.11320489,28bd93298a75c30fd32142177b7da6950f8b334605633ba094b236ab19cb913e
38,1139.85358495,868.16716948,100,5,11.35944835,3.79515503,0.11359448,6386bc6f54e1bd56518c9cf53b23e6dc005f4a8fc77d39662032f9da0aab220b
39,1143.77516059,871.48001537,100,5,11.39853585,3.80759028,0.11398536,8df786724b5635b510ccdd5792221e1ffcd575e079ee3414bb8c0d8312d1d4a5
40,1147.70960015,874.80369369,100,5,11.43775161,3.82006204,0.11437752,62d123b56c6cfd71e4951d1ce0c3bc772953c40a13e9856c517b96faff7072a0
41,1151.65694148,878.13823606,100,5,11.477096,3.83257037,0.11477096,2ebf6bc4c7ebb83c5298da4bb35cf9bf577e7078d8851040f6f4592d19ac0b54
